time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
1.56,232.86355,0,-2998.0759,148.45479,0,0.093238545,0,0.086135346,0,0,-0.050132166,0,0.022931852,0,0,0.073253823,0.016030644,0,0,0.11518877,0,0,0.086763406,0,0.45179185,148.45482,2998.0759,9295.48,1480.3756,nan,nan,0,3000,150,10021.436,-2003.3584,0,-113087.11,0,-14754.711,0,1480.3756,0,0,0,0,0
1.59,237.31674,0,-2998.074,148.42249,0,0.028659191,0,0.084553847,0,0,-0.055478645,0,0.01853373,0,0,0.075791418,0.0113931,0,0,0.11806504,0,0,0.084746939,0,0.45169344,148.42249,2998.074,9295.48,1554.7193,nan,nan,0,3000,150,10017.073,-2006.3261,0,-109935.84,0,-12035.845,0,1554.7193,0,0,0,0,0
1.62,241.76898,0,-2998.0739,148.39186,0,-0.025884145,0,0.082827038,0,0,-0.05974852,0,0.01401858,0,0,0.078346165,0.0067363775,0,0,0.12085792,0,0,0.082652607,0,0.45160022,148.39186,2998.0739,9295.48,1630.9977,nan,nan,0,3000,150,10012.94,-2005.5882,0,-106808.57,0,-9329.78,0,1630.9977,0,0,0,0,0
1.65,246.22033,0,-2998.0754,148.36293,0,-0.070525475,0,0.080987092,0,0,-0.062952993,0,0.0094472662,0,0,0.080912145,0.0021200512,0,0,0.12356597,0,0,0.080511734,0,0.45151223,148.36294,2998.0754,9295.48,1709.1757,nan,nan,0,3000,150,10009.036,-2001.5648,0,-103742.22,0,-6669.3012,0,1709.1757,0,0,0,0,0
1.68,250.67083,0,-2998.078,148.33569,0,-0.10551178,0,0.079065668,0,0,-0.065115876,0,0.0048790584,0,0,0.083483746,-0.0024001419,0,0,0.12618913,0,0,0.078354364,0,0.4514294,148.33572,2998.078,9295.48,1789.21,nan,nan,0,3000,150,10005.361,-1994.725,0,-100770.84,0,-4085.0012,0,1789.21,0,0,0,0,0
1.71,255.12054,0,-2998.0815,148.31011,0,-0.13119354,0,0.077093546,0,0,-0.06627262,0,0.00037045955,0,0,0.086055716,-0.006772821,0,0,0.12872848,0,0,0.076208957,0,0.45135164,148.31016,2998.0815,9295.48,1871.0501,nan,nan,0,3000,150,10001.91,-1985.5488,0,-97925.28,0,-1604.7271,0,1871.0501,0,0,0,0,0
1.74,259.5695,0,-2998.0857,148.28586,0,-0.14799128,0,0.075100157,0,0,-0.066485903,0,-0.0040293137,0,0,0.088623529,-0.010972235,0,0,0.13120287,0,0,0.074102144,0,0.45127793,148.28594,2998.0857,9295.48,1954.6426,nan,nan,0,3000,150,9998.6379,-2177.374,0,-95230.529,0,650.984,0,1954.6426,0,0,0,0,0
1.77,264.01774,0,-2998.0903,148.26248,0,-0.15638415,0,0.073112653,0,0,-0.065830741,0,-0.0082892235,0,0,0.091184719,-0.014985581,0,0,0.13364049,0,0,0.072057874,0,0.45120681,148.26256,2998.0903,9295.48,2039.9316,nan,nan,0,3000,150,9995.4809,-2378.5469,0,-92705.342,0,2774.4484,0,2039.9316,0,0,0,0,0
1.8,268.4653,0,-2998.095,148.2399,0,-0.15694762,0,0.071156377,0,0,-0.064358446,0,-0.012376191,0,0,0.093737609,-0.018768314,0,0,0.13604374,0,0,0.070097636,0,0.45113814,148.23999,2998.095,9295.48,2126.8548,nan,nan,0,3000,150,9992.4326,-2568.8578,0,-90369.319,0,4761.7693,0,2126.8548,0,0,0,0,0
1.83,272.91219,0,-2998.0997,148.21809,0,-0.15031793,0,0.069255063,0,0,-0.06212586,0,-0.016252496,0,0,0.096280747,-0.022278682,0,0,0.13841485,0,0,0.068240896,0,0.45107177,148.21817,2998.0997,9295.48,2215.3494,nan,nan,0,3000,150,9989.4869,-2746.7397,0,-88240.123,0,6597.2706,0,2215.3494,0,0,0,0,0
1.86,277.35844,0,-2998.104,148.197,0,-0.13718441,0,0.067430652,0,0,-0.059196107,0,-0.019879784,0,0,0.098812897,-0.025479639,0,0,0.14075605,0,0,0.066504963,0,0.45100758,148.19707,2998.104,9295.48,2305.352,nan,nan,0,3000,150,9986.6382,-2910.6932,0,-86332.8,0,8265.1981,0,2305.352,0,0,0,0,0
1.89,281.80406,0,-2998.1079,148.17659,0,-0.11828048,0,0.065703105,0,0,-0.055638349,0,-0.023221791,0,0,0.10133302,-0.028339819,0,0,0.14306949,0,0,0.064904865,0,0.45094542,148.17664,2998.1079,9295.48,2396.7996,nan,nan,0,3000,150,9983.8806,-3059.3555,0,-84659.363,0,9751.1431,0,2396.7996,0,0,0,0,0
1.92,286.24908,0,-2998.1111,148.1568,0,-0.094373452,0,0.064090231,0,0,-0.051527064,0,-0.02624615,0,0,0.10384027,-0.030834088,0,0,0.14535724,0,0,0.063453248,0,0.45088517,148.15683,2998.1111,9295.48,2489.6291,nan,nan,0,3000,150,9981.209,-3191.5486,0,-83228.551,0,11042.954,0,2489.6291,0,0,0,0,0
1.95,290.69351,0,-2998.1135,148.13761,0,-0.066253834,0,0.062607543,0,0,-0.046941041,0,-0.028925531,0,0,0.10633396,-0.032943792,0,0,0.14762117,0,0,0.062160297,0,0.45082672,148.13762,2998.1135,9295.48,2583.7784,nan,nan,0,3000,150,9978.6182,-3306.3122,0,-82045.718,0,12131.288,0,2583.7784,0,0,0,0,0
1.98,295.13738,0,-2998.1151,148.11897,0,-0.034724348,0,0.061268141,0,0,-0.041962208,0,-0.031238321,0,0,0.10881354,-0.034656784,0,0,0.14986304,0,0,0.061033706,0,0.45076996,148.11897,2998.1151,9295.48,2679.1861,nan,nan,0,3000,150,9976.1038,-3402.9248,0,-81112.822,0,13009.894,0,2679.1861,0,0,0,0,0
2.01,299.58069,0,-2998.1157,148.10084,0,-0.00058910308,0,0.060082641,0,0,-0.036674376,0,-0.033168951,0,0,0.1112786,-0.03596729,0,0,0.1520844,0,0,0.060078663,0,0.4507148,148.10084,2998.1157,9295.48,2775.7917,nan,nan,0,3000,150,9973.6616,-3480.9172,0,-80428.502,0,13675.728,0,2775.7917,0,0,0,0,0
