time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
4,233.45594,5.0026419,-898.58411,57.048028,2.5584727,0.041979649,0.048412946,0.023503726,-0.028844531,-0.016695892,0.0041391923,0.0095215824,-0.027035946,-0.0019744377,0.0048501509,0.18138835,-0.027042896,-0.0019443516,0.0047607912,0.20934704,0,0,0.02403771,0.0047513499,0.16942256,57.066253,898.58411,1200,511.96398,nan,nan,0,900,60,1828.1852,-891.56234,-28.440889,-12007.525,8.041048,-3.1263279,-10.38207,511.96398,0,0,0,0,0
4.1,239.15821,5.2607277,-898.58075,56.994786,2.6053088,0.024612296,0.046795378,0.023864166,-0.027892028,-0.0160775,0.0039602926,0.0091427536,-0.027052595,-0.001906682,0.0046564974,0.18703975,-0.027060562,-0.0018759211,0.0045713768,0.21502673,0,0,0.024109051,0.0045603893,0.16926105,57.011853,898.58075,1200,527.91503,nan,nan,0,900,60,1824.7019,-889.18152,-27.23875,-11993.542,7.8966177,-2.97516,-9.8697724,527.91503,0,0,0,0,0
4.2,244.8552,5.5234193,-898.57907,56.942657,2.6505191,0.008294437,0.045238469,0.024210369,-0.026977839,-0.015472488,0.0037901489,0.0087830736,-0.027071387,-0.0018380744,0.0044723566,0.19269575,-0.02708027,-0.0018071746,0.0043915368,0.2207006,0,0,0.024182644,0.0043825965,0.16910308,56.958646,898.57907,1200,543.87903,nan,nan,0,900,60,1821.2979,-886.81943,-26.142331,-11980.327,7.6920273,-2.8391294,-9.3568828,543.87903,0,0,0,0,0
4.3,250.54704,5.7905572,-898.57898,56.89166,2.6941651,-0.0070338605,0.043740686,0.024542912,-0.026099952,-0.014884921,0.0036279126,0.0084423857,-0.027092091,-0.0017696709,0.0042977473,0.19835428,-0.027101783,-0.0017390551,0.0042211929,0.22636682,0,0,0.024258219,0.0042168702,0.16894869,56.906645,898.57898,1200,559.85009,nan,nan,0,900,60,1817.9739,-884.47888,-25.138089,-11967.851,7.4439529,-2.7164568,-8.8534055,559.85009,0,0,0,0,0
4.4,256.23383,6.0619877,-898.58037,56.841811,2.7363071,-0.021430023,0.042300152,0.024862308,-0.025256394,-0.014317667,0.0034728301,0.0081202053,-0.027114467,-0.0017022949,0.0041325009,0.20401331,-0.027124859,-0.0016722886,0.0040601026,0.23202361,0,0,0.024335471,0.0040621249,0.16879792,56.855861,898.58037,1200,575.82249,nan,nan,0,900,60,1814.7303,-882.16295,-24.213812,-11956.078,7.1662902,-2.6055272,-8.3667567,575.82249,0,0,0,0,0
4.5,261.91568,6.3375632,-898.58317,56.793126,2.7770034,-0.03494868,0.040914755,0.025169018,-0.024445263,-0.013772607,0.0033242354,0.0078158086,-0.027138273,-0.0016365704,0.003976309,0.20967085,-0.027149258,-0.0016074161,0.0039079043,0.23766924,0,0,0.024414077,0.0039173149,0.1686508,56.806304,898.58317,1200,591.79065,nan,nan,0,900,60,1811.5677,-879.87489,-23.358619,-11944.973,6.8704524,-2.504884,-7.9021935,591.79065,0,0,0,0,0
4.6,267.59273,6.617142,-898.58727,56.745619,2.8163104,-0.047641495,0.039582233,0.025463459,-0.023664745,-0.013250814,0.003181542,0.0075283073,-0.027163271,-0.0015729523,0.0038287643,0.21532498,-0.027174743,-0.0015448226,0.0037641536,0.24330203,0,0,0.024493704,0.0037814515,0.16850735,56.757983,898.58727,1200,607.74913,nan,nan,0,900,60,1808.4863,-877.61797,-22.562912,-11934.496,6.565664,-2.4132229,-7.4631967,607.74913,0,0,0,0,0
4.7,273.26508,6.9005876,-898.59261,56.6993,2.8542825,-0.05955711,0.038300251,0.025746011,-0.022913127,-0.012752715,0.0030442353,0.0072567084,-0.027189231,-0.0015117544,0.0036893939,0.22097383,-0.027201088,-0.0014847638,0.0036283542,0.24892037,0,0,0.024574017,0.0036536144,0.16836759,56.710906,898.59261,1200,623.69262,nan,nan,0,900,60,1805.4866,-875.39543,-21.818315,-11924.609,6.2592415,-2.329384,-7.0518071,623.69262,0,0,0,0,0
4.8,278.93286,7.187769,-898.5991,56.654181,2.8909716,-0.070741152,0.037066457,0.02601702,-0.022188804,-0.012278227,0.0029118649,0.0069999634,-0.027215932,-0.0014531742,0.0035576858,0.22661556,-0.027228076,-0.0014273899,0.0034999817,0.25452267,0,0,0.024654691,0.003532958,0.16823155,56.665079,898.5991,1200,639.61597,nan,nan,0,900,60,1802.5687,-873.21043,-21.117591,-11915.275,5.9568575,-2.252343,-6.6689188,639.61597,0,0,0,0,0
4.9,284.59618,7.4785604,-898.60668,56.610271,2.9264275,-0.081236307,0.035878526,0.026276809,-0.021490282,-0.01182688,0.0027840374,0.0067570064,-0.027243164,-0.0013973147,0.003433111,0.2322484,-0.027255504,-0.0013727658,0.0033785032,0.26010739,0,0,0.024735409,0.0034187149,0.16809924,56.620509,898.60668,1200,655.51416,nan,nan,0,900,60,1799.7328,-871.06595,-20.454546,-11906.456,5.6627846,-2.1812015,-6.3145313,655.51416,0,0,0,0,0
